Sl. No.,State/UT,District,Grade,District Score 2020-21 - Overall,District Score 2020-21 - Category - 1.Outcome (290),District Score 2020-21 - Category - 2. ECT (90),District Score 2020-21 - Category - 3. IF&SE (51),District Score 2020-21 - Category - 4.SS&CP (35),District Score 2020-21 - Category - 5. DL (50),District Score 2020-21 - Category - 6. GP (84)
1,Andaman and Nicobar Islands,Andamans,Uttam,402,151,84,43,35,21,68
2,Andaman and Nicobar Islands,Middle and North Andamans,Uttam,401,159,83,40,35,14,70
3,Andaman and Nicobar Islands,Nicobars,Uttam,390,142,85,45,35,15,68
4,Andhra Pradesh,Krishna,Ati-Uttam,429,193,83,38,29,8,78
5,Andhra Pradesh,Guntur,Ati-Uttam,425,183,83,40,34,8,77
6,Andhra Pradesh,Vizianagaram,Uttam,419,181,82,39,35,6,76
7,Andhra Pradesh,Kadapa,Uttam,416,189,78,38,33,7,71
8,Andhra Pradesh,Prakasam,Uttam,412,189,78,36,31,6,72
9,Andhra Pradesh,Nellore,Uttam,409,180,74,34,32,14,75
10,Andhra Pradesh,East Godavari,Uttam,407,211,77,42,32,8,37
11,Andhra Pradesh,Chittoor,Uttam,397,162,80,37,35,11,72
12,Andhra Pradesh,Anantapur,Uttam,385,188,67,35,23,6,66
13,Andhra Pradesh,Srikakulam,Uttam,373,203,83,31,30,5,21
14,Andhra Pradesh,Visakhapatnam,Uttam,370,168,71,34,24,8,65
15,Andhra Pradesh,West Godavari,Prachesta-1,333,155,78,36,20,8,36
16,Andhra Pradesh,Kurnool,Prachesta-1,316,142,83,24,33,8,26
17,Arunachal Pradesh,Lower Subansiri,Prachesta-1,327,141,66,37,22,10,51
18,Arunachal Pradesh,Tirap,Prachesta-1,311,147,61,34,23,4,42
19,Arunachal Pradesh,Kamle,Prachesta-1,304,159,55,30,15,2,43
20,Arunachal Pradesh,Lower Dibang Valley,Prachesta-2,294,92,78,36,24,10,54
21,Arunachal Pradesh,Lower Siang,Prachesta-2,293,121,67,27,23,2,53
22,Arunachal Pradesh,Tawang,Prachesta-2,291,120,59,42,13,6,51
23,Arunachal Pradesh,West Siang,Prachesta-2,288,124,63,29,18,6,48
24,Arunachal Pradesh,Shi Yomi,Prachesta-2,287,122,58,28,20,4,55
25,Arunachal Pradesh,Capital Complex Itanagar,Prachesta-2,286,116,48,35,13,15,59
26,Arunachal Pradesh,Kra Dadi,Prachesta-2,274,109,59,33,18,1,54
27,Arunachal Pradesh,Siang,Prachesta-2,270,112,59,37,16,3,43
28,Arunachal Pradesh,East Siang,Prachesta-2,266,94,60,34,17,7,54
29,Arunachal Pradesh,Pakke Kessang,Prachesta-2,265,109,55,34,15,3,49
30,Arunachal Pradesh,Kurung Kumey,Prachesta-2,263,118,52,26,13,5,49
31,Arunachal Pradesh,Lepa Rada,Prachesta-2,262,99,61,30,16,6,50
32,Arunachal Pradesh,Namsai,Prachesta-2,258,99,66,30,7,3,53
33,Arunachal Pradesh,Lohit,Prachesta-2,253,135,47,32,8,3,28
34,Arunachal Pradesh,Changlang,Prachesta-2,250,78,62,39,20,5,46
35,Arunachal Pradesh,Dibang Valley,Prachesta-2,249,97,48,37,16,4,47
