State/UT,District,Grade,District score 2019-20 - Overall,District score 2019-20 - Category - 1.Outcome (290),District score 2019-20 - Category - 2. ECT (90),District score 2019-20 - Category - 3. IF&SE (51),District score 2019-20 - Category - 4.SS&CP (35),District score 2019-20 - Category - 5. DL (50),District score 2019-20 - Category - 6. GP (84)
Andaman and Nicobar,Andamans,Uttam,404,150,83,46,34,18,74
Andaman and Nicobar,Middle and North Andamans,Uttam,399,157,80,45,35,11,71
Andaman and Nicobar,Nicobars,Uttam,389,144,81,48,35,12,69
Andhra Pradesh,East Godavari,Uttam,405,214,75,35,10,10,60
Andhra Pradesh,Krishna,Uttam,397,199,75,35,17,10,61
Andhra Pradesh,Guntur,Uttam,386,189,76,26,26,10,59
Andhra Pradesh,Srikakulam,Uttam,386,197,72,35,11,7,63
Andhra Pradesh,West Godavari,Uttam,385,178,77,32,26,12,60
Andhra Pradesh,Prakasam,Uttam,383,197,77,25,23,8,53
Andhra Pradesh,Kadapa,Uttam,381,189,75,33,18,8,58
Andhra Pradesh,Nellore,Uttam,381,171,71,36,29,8,65
Andhra Pradesh,Kurnool,Uttam,375,169,77,32,23,9,65
Andhra Pradesh,Visakhapatnam,Uttam,368,172,73,38,20,10,56
Andhra Pradesh,Vizianagaram,Uttam,365,172,77,35,15,8,59
Andhra Pradesh,Anantapur,Uttam,363,167,73,39,23,7,53
Andhra Pradesh,Chittoor,Prachesta-1,357,160,74,35,18,9,60
Arunachal Pradesh,Kamle,Prachesta-1,318,126,71,36,28,3,55
Arunachal Pradesh,Capital Complex Itanagar,Prachesta-1,306,119,67,37,5,14,64
Arunachal Pradesh,Tirap,Prachesta-1,302,125,55,32,28,5,55
Arunachal Pradesh,Lower Dibang Valley,Prachesta-2,298,95,73,41,25,10,54
Arunachal Pradesh,Tawang,Prachesta-2,289,126,50,48,15,9,41
Arunachal Pradesh,Anjaw,Prachesta-2,283,121,57,40,16,2,48
Arunachal Pradesh,East Kameng,Prachesta-2,282,89,71,40,26,5,52
Arunachal Pradesh,East Siang,Prachesta-2,269,79,57,44,23,13,52
Arunachal Pradesh,Upper Siang,Prachesta-2,268,103,68,37,17,8,35
Arunachal Pradesh,Lower Subansiri,Prachesta-2,264,108,68,41,4,9,35
Arunachal Pradesh,West Siang,Prachesta-2,254,92,65,40,25,5,27
Arunachal Pradesh,Siang,Prachesta-2,248,127,31,31,13,4,42
Arunachal Pradesh,Kurung Kumey,Prachesta-2,245,112,34,39,9,4,49
Arunachal Pradesh,Lower Siang,Prachesta-2,245,91,46,33,14,3,58
Arunachal Pradesh,Lohit,Prachesta-2,241,137,52,34,4,3,11
Arunachal Pradesh,Changlang,Prachesta-2,241,82,53,41,29,5,31
Arunachal Pradesh,West Kameng,Prachesta-3,236,92,43,40,12,10,39
Arunachal Pradesh,Namsai,Prachesta-3,226,81,61,40,15,4,25
Arunachal Pradesh,Lepa Rada,Prachesta-3,222,81,46,31,13,8,43
Arunachal Pradesh,Papum Pare,Prachesta-3,215,91,50,34,8,2,31
Arunachal Pradesh,Upper Subansiri,Prachesta-3,213,81,32,34,10,3,53
Arunachal Pradesh,Pakke Kessang,Prachesta-3,197,94,39,21,0,6,38
Arunachal Pradesh,Dibang Valley,Prachesta-3,193,90,27,35,7,7,26
Arunachal Pradesh,Kra Dadi,Akanshi-1,169,94,21,37,6,2,8
Arunachal Pradesh,Longding,Akanshi-1,169,68,52,34,5,9,1
Arunachal Pradesh,Shi Yomi,Akanshi-2,109,84,4,18,0,3,1
Assam,Morigaon,Uttam,392,186,70,39,25,10,62
Assam,Biswanath,Uttam,363,158,77,42,30,3,53
Assam,Bongaigaon,Prachesta-1,358,174,69,41,23,3,49
Assam,Majuli,Prachesta-1,356,152,78,42,35,2,46
Assam,Jorhat,Prachesta-1,355,155,65,43,28,5,58
Assam,Darrang,Prachesta-1,354,154,67,40,22,10,62
Assam,Charaideo,Prachesta-1,353,161,67,39,25,3,58
Assam,Nalbari,Prachesta-1,352,170,56,39,29,3,56
Assam,Goalpara,Prachesta-1,351,151,61,43,19,2,74
Assam,Dibrugarh,Prachesta-1,351,144,76,38,31,5,55
Assam,Kamrup-Rural,Prachesta-1,349,164,79,42,22,2,40
Assam,Sibsagar,Prachesta-1,348,164,65,38,23,4,54
Assam,Hailakandi,Prachesta-1,347,171,70,37,15,2,53
Assam,Kokrajhar,Prachesta-1,338,174,57,33,18,2,55
Assam,Nagaon,Prachesta-1,337,179,58,42,14,3,41
Assam,Cachar,Prachesta-1,337,156,66,35,24,3,53
Assam,Barpeta,Prachesta-1,337,168,45,42,19,3,60
Assam,Sonitpur,Prachesta-1,336,145,64,44,21,4,58
Assam,Dhubri,Prachesta-1,334,165,61,36,17,2,54
Assam,West Karbi Anglong,Prachesta-1,329,139,71,35,26,2,55
