State/UT,Grades,Scores
Andaman and Nicobar Islands,Akanshi-1,567.9
Andhra Pradesh,Akanshi-1,543.8
Arunachal Pradesh,Akanshi-3,458.5
Assam,Akanshi-2,512.7
Bihar,Akanshi-2,465
Chandigarh,Prachesta-2,659
Chhattisgarh,Akanshi-1,521
Dadra and Nagar Haveli and Daman and Diu,Akanshi-1,576.2
Delhi,Prachesta-3,636.2
Goa,Akanshi-1,555.8
Gujarat,Prachesta-3,599
Haryana,Akanshi-1,577.9
Himachal Pradesh,Akanshi-1,538.5
Jammu and Kashmir,Akanshi-2,506.5
Jharkhand,Akanshi-2,503.7
Karnataka,Akanshi-1,549.7
Kerala,Prachesta-3,609.7
Ladakh,Akanshi-2,518.8
Lakshadweep,Akanshi-1,545.5
Madhya Pradesh,Akanshi-1,522.4
Maharashtra,Prachesta-3,583.2
Manipur,Akanshi-2,513
Meghalaya,Akanshi-3,420.6
Mizoram,Akanshi-3,453.4
Nagaland,Akanshi-2,471.5
Odisha,Akanshi-2,517.1
Puducherry,Prachesta-3,592.7
Punjab,Prachesta-2,647.4
Rajasthan,Akanshi-1,577.5
Sikkim,Akanshi-1,533.6
Tamil Nadu,Prachesta-3,590.4
Telangana,Akanshi-2,479.9
Tripura,Akanshi-2,485.8
Uttar Pradesh,Akanshi-2,501.9
Uttarakhand,Akanshi-2,517.9
West Bengal,Akanshi-1,562.7
