State/UT,Score - Domain 1 - 240,Score - Domain2 - 80,Score - Domain 3 - 190,Score - Domain 4 - 260,Score - Domain 5 - 130,Score - Domain 6 - 100,Grade - Domain 1,Grade - Domain 2,Grade - Domain 3,Grade - Domain 4,Grade - Domain 5,Grade - Domain 6
Andaman and Nicobar Islands,60.8,63.3,104.4,207.3,56.3,75.9,Akanshi-1,Ati-uttam,Prachesta-1,Ati-uttam,Prachesta-2,Ati-uttam
Andhra Pradesh,47.8,61.3,84,223,67.5,60.3,Akanshi-2,Ati-uttam,Prachesta-2,Utkarsh,Prachesta-1,Uttam
Arunachal Pradesh,45,42,55.6,216.3,39,60.6,Akanshi-2,Prachesta-1,Akanshi-1,Utkarsh,Akanshi-1,Uttam
Assam,62.6,49,65.3,222.4,70,43.4,Akanshi-1,Uttam,Prachesta-3,Utkarsh,Prachesta-1,Prachesta-2
Bihar,64.4,41.8,41,218.4,39.1,60.3,Akanshi-1,Prachesta-1,Akanshi-1,Utkarsh,Prachesta-3,Uttam
Chandigarh,103.6,68.6,115.5,210.6,76.1,84.7,Prachesta-2,Utkarsh,Uttam,Utkarsh,Prachesta-1,Utkarsh
Chhattisgarh,38.8,60.5,72.8,224.9,57.8,66.2,Akanshi-2,Ati-uttam,Prachesta-3,Utkarsh,Prachesta-2,Uttam
Dadra and Nagar Haveli and Daman and Diu,43.4,61.6,104.5,225.4,70.3,71.1,Akanshi-2,Ati-uttam,Prachesta-1,Utkarsh,Prachesta-1,Ati-uttam
Delhi,63.8,72.4,103.3,238.8,73.1,84.8,Akanshi-1,Daksh,Prachesta-1,Daksh,Prachesta-1,Utkarsh
Goa,61.4,66.3,76.2,220.7,56.8,74.4,Akanshi-1,Utkarsh,Prachesta-2,Utkarsh,Prachesta-2,Ati-uttam
Gujarat,60.2,55.5,83,227.4,91.2,81.8,Akanshi-1,Uttam,Prachesta-2,Utkarsh,Ati-uttam,Utkarsh
Haryana,78.4,64.1,77.9,225.9,63.5,68.2,Prachesta-3,Utkarsh,Prachesta-2,Utkarsh,Prachesta-2,Uttam
Himachal Pradesh,54.2,66.4,74.7,222.2,49,72.1,Akanshi-1,Utkarsh,Prachesta-3,Utkarsh,Prachesta-3,Ati-uttam
Jammu and Kashmir,76.8,51.2,71.2,211.2,43.7,52.4,Prachesta-3,Uttam,Prachesta-3,Utkarsh,Prachesta-3,Prachesta-1
Jharkhand,57.4,48.1,65.2,209.5,59.1,64.4,Akanshi-1,Uttam,Prachesta-3,Utkarsh,Prachesta-2,Uttam
Karnataka,59.4,62.4,75,227.6,51.6,73.7,Akanshi-1,Ati-uttam,Prachesta-3,Utkarsh,Prachesta-3,Ati-uttam
Kerala,60.2,68.4,94.1,218,84.8,84.3,Akanshi-1,Utkarsh,Prachesta-2,Utkarsh,Uttam,Utkarsh
Ladakh,55.2,52.7,87,206.9,61.8,55.2,Akanshi-1,Uttam,Prachesta-2,Ati-uttam,Prachesta-2,Prachesta-1
Lakshadweep,43.6,63.1,104.9,208.4,51.4,74.2,Akanshi-2,Ati-uttam,Prachesta-1,Utkarsh,Prachesta-3,Ati-uttam
Madhya Pradesh,72.8,50.2,57.3,222.2,55.2,64.7,Prachesta-3,Uttam,Prachesta-3,Utkarsh,Prachesta-2,Uttam
Maharashtra,65.8,64.7,73.4,233.4,72.2,73.6,Akanshi-1,Utkarsh,Prachesta-3,Utkarsh,Prachesta-1,Ati-uttam
Manipur,71,55.9,62.1,219.5,50.1,54.4,Akanshi-1,Uttam,Prachesta-3,Utkarsh,Prachesta-3,Prachesta-1
Meghalaya,31.6,43.4,46.6,205.6,55.2,38.2,Akanshi-2,Prachesta-1,Akanshi-1,Ati-uttam,Prachesta-2,Prachesta-3
Mizoram,44.8,48.9,56.6,200.9,41.6,60.5,Akanshi-2,Uttam,Akanshi-1,Ati-uttam,Prachesta-3,Uttam
Nagaland,46.4,39.8,62.1,218.8,59.3,45.1,Akanshi-2,Prachesta-2,Prachesta-3,Utkarsh,Prachesta-2,Prachesta-2
Odisha,65.2,52.4,60.2,214.5,59.1,65.7,Akanshi-1,Uttam,Prachesta-3,Utkarsh,Prachesta-2,Uttam
Puducherry,69.2,65.3,94.4,213.7,74.1,76.1,Akanshi-1,Utkarsh,Prachesta-2,Utkarsh,Prachesta-1,Ati-uttam
Punjab,113.4,62.1,102.3,227.2,70.3,72.2,Prachesta-2,Ati-uttam,Prachesta-1,Utkarsh,Prachesta-1,Ati-uttam
Rajasthan,98.8,54.7,66,223.9,66.6,67.5,Prachesta-2,Uttam,Prachesta-3,Utkarsh,Prachesta-1,Uttam
Sikkim,48.2,53.9,92.4,216.7,66.1,56.3,Akanshi-1,Uttam,Prachesta-2,Utkarsh,Prachesta-1,Prachesta-1
Tamil Nadu,41.2,66.2,93.5,229.3,77.6,82.7,Akanshi-2,Utkarsh,Prachesta-2,Utkarsh,Prachesta-1,Utkarsh
Telangana,36.6,53.7,56.2,219.5,53.3,60.6,Akanshi-2,Uttam,Akanshi-1,Utkarsh,Prachesta-2,Uttam
Tripura,53,56.7,55.9,212.8,53.9,53.4,Akanshi-1,Ati-uttam,Akanshi-1,Utkarsh,Prachesta-2,Prachesta-1
Uttar Pradesh,49.4,47.6,61.2,221,61,61.8,Akanshi-1,Prachesta-1,Prachesta-3,Utkarsh,Prachesta-2,Uttam
Uttarakhand,56.4,60.7,60.9,219.3,52.5,68.2,Akanshi-1,Ati-uttam,Prachesta-3,Utkarsh,Prachesta-2,Uttam
West Bengal,72.8,58.1,81.4,219.3,58.6,72.6,Prachesta-3,Ati-uttam,Prachesta-2,Utkarsh,Prachesta-2,Ati-uttam
